,STCOUNTYFP,STATE,COUNTYNAME,digital_force,cat_DF
0,01001,AL,Autauga County,0.16666750305363942,medium
1,01003,AL,Baldwin County,0.11457692833242157,medium
2,01005,AL,Barbour County,-0.023032299506590474,medium
3,01007,AL,Bibb County,0.17176656237019852,medium
4,01009,AL,Blount County,-0.039245663672443656,medium
5,01011,AL,Bullock County,-0.12690618832663764,medium
6,01013,AL,Butler County,-0.15701495684523945,medium
7,01015,AL,Calhoun County,0.1200633233894104,medium
8,01017,AL,Chambers County,0.0642130398024684,medium
9,01019,AL,Cherokee County,-0.009453791270943344,medium
10,01021,AL,Chilton County,0.049087573023260486,medium
11,01023,AL,Choctaw County,-0.19781170276669668,medium
12,01025,AL,Clarke County,-0.09355804595719308,medium
13,01027,AL,Clay County,0.0017363495314249929,medium
14,01029,AL,Cleburne County,0.09121756539440057,medium
15,01031,AL,Coffee County,-0.0006375688231162702,medium
16,01033,AL,Colbert County,0.2664360835993626,medium
17,01035,AL,Conecuh County,-0.02382134086658653,medium
18,01037,AL,Coosa County,-0.08804787411597946,medium
19,01039,AL,Covington County,-0.0006375688231162702,medium
20,01041,AL,Crenshaw County,-0.15701495684523945,medium
21,01043,AL,Cullman County,-0.026790287263504367,medium
22,01045,AL,Dale County,-0.023032299506590474,medium
23,01047,AL,Dallas County,-0.18385515079981454,medium
24,01049,AL,DeKalb County,0.14294064142234292,medium
25,01051,AL,Elmore County,0.16666750305363942,medium
26,01053,AL,Escambia County,-0.07228728335720246,medium
27,01055,AL,Etowah County,0.14294064142234292,medium
28,01057,AL,Fayette County,0.1294448962350265,medium
29,01059,AL,Franklin County,0.01742726379881953,medium
30,01061,AL,Geneva County,0.0685793486290094,medium
31,01063,AL,Greene County,0.09258225696101872,medium
32,01065,AL,Hale County,-0.21227726353480614,medium
33,01067,AL,Henry County,-0.023032299506590474,medium
34,01069,AL,Houston County,0.0685793486290094,medium
35,01071,AL,Jackson County,0.12213120884221106,medium
36,01073,AL,Jefferson County,0.252520387813279,medium
37,01075,AL,Lamar County,-0.05743510672142451,medium
38,01077,AL,Lauderdale County,0.11370510894734928,medium
39,01079,AL,Lawrence County,-0.14521832081736588,medium
40,01081,AL,Lee County,0.0642130398024684,medium
41,01083,AL,Limestone County,0.1844947250291163,medium
42,01085,AL,Lowndes County,-0.18385515079981454,medium
43,01087,AL,Macon County,0.0642130398024684,medium
44,01089,AL,Madison County,0.1202880507150926,medium
45,01091,AL,Marengo County,-0.04186949993388599,medium
46,01093,AL,Marion County,0.01742726379881953,medium
47,01095,AL,Marshall County,0.14294064142234292,medium
48,01097,AL,Mobile County,0.20386448839220447,medium
49,01099,AL,Monroe County,-0.09355804595719308,medium
50,01101,AL,Montgomery County,0.019382845592674062,medium
51,01103,AL,Morgan County,0.02319745533943859,medium
52,01105,AL,Perry County,-0.04186949993388599,medium
53,01107,AL,Pickens County,-0.12298510393421085,medium
54,01109,AL,Pike County,-0.12690618832663764,medium
55,01111,AL,Randolph County,-0.05647355761091834,medium
56,01113,AL,Russell County,-0.054675525150961315,medium
57,01115,AL,St. Clair County,0.06349638314501839,medium
58,01117,AL,Shelby County,0.17176656237019852,medium
59,01119,AL,Sumter County,0.09258225696101872,medium
60,01121,AL,Talladega County,-0.097856447181104,medium
61,01123,AL,Tallapoosa County,0.0642130398024684,medium
62,01125,AL,Tuscaloosa County,0.04650476715117987,medium
63,01127,AL,Walker County,0.1294448962350265,medium
64,01129,AL,Washington County,-0.007235263842638173,medium
65,01131,AL,Wilcox County,-0.04186949993388599,medium
66,01133,AL,Winston County,-0.038515162728006376,medium
67,02013,AK,Aleutians East Borough,-0.013704709771304972,medium
68,02016,AK,Aleutians West Census Area,-0.013041214413262342,medium
69,02020,AK,Anchorage Municipality,0.09862616275751936,medium
70,02050,AK,Bethel Census Area,-0.0028947964148948913,medium
71,02060,AK,Bristol Bay Borough,0.016913951829771616,medium
72,02068,AK,Denali Borough,0.07111724114043075,medium
73,02070,AK,Dillingham Census Area,0.01320314285106841,medium
74,02090,AK,Fairbanks North Star Borough,-0.054120074258865364,medium
75,02100,AK,Haines Borough,-0.16146747918056675,medium
76,02105,AK,Hoonah-Angoon Census Area,0.0004400889296741036,medium
77,02110,AK,Juneau City and Borough,-0.14318837354735997,medium
78,02122,AK,Kenai Peninsula Borough,0.05456253323649392,medium
79,02130,AK,Ketchikan Gateway Borough,-0.17040958150800384,medium
80,02150,AK,Kodiak Island Borough,-0.08093788536022145,medium
81,02164,AK,Lake and Peninsula Borough,-0.08331274903179532,medium
82,02170,AK,Matanuska-Susitna Borough,-0.24030871639611145,medium
83,02180,AK,Nome Census Area,-0.04620165868119197,medium
84,02185,AK,North Slope Borough,-0.13560016530522098,medium
85,02188,AK,Northwest Arctic Borough,-0.08852523960913665,medium
86,02195,AK,Petersburg Census Area,-0.14708994674488424,medium
87,02198,AK,Prince of Wales-Hyder Census Area,-0.2011627404527902,medium
88,02220,AK,Sitka City and Borough,-0.08550800252023008,medium
89,02230,AK,Skagway Municipality,-0.1780928590686908,medium
90,02240,AK,Southeast Fairbanks Census Area,0.036572135167668884,medium
91,02261,AK,Valdez-Cordova Census Area,-0.030135077508325663,medium
92,02275,AK,Wrangell City and Borough,-0.6321648743990839,low
93,02282,AK,Yakutat City and Borough,-0.3294331957297613,medium
94,02290,AK,Yukon-Koyukuk Census Area,0.004628237079116279,medium
95,04001,AZ,Apache County,0.00035616261536616746,medium
96,04003,AZ,Cochise County,-0.005363740403626117,medium
97,04005,AZ,Coconino County,-0.08204981653040422,medium
98,04007,AZ,Gila County,0.06115857426292294,medium
99,04009,AZ,Graham County,-0.015688369617382927,medium
100,04011,AZ,Greenlee County,-0.19616790583412436,medium
101,04012,AZ,La Paz County,-0.008669945060415116,medium
102,04013,AZ,Maricopa County,0.5575635965135686,high
103,04015,AZ,Mohave County,0.12303921845551327,medium
104,04017,AZ,Navajo County,0.02462956945361677,medium
105,04019,AZ,Pima County,0.2405163309957229,medium
106,04021,AZ,Pinal County,0.14166523000318787,medium
107,04023,AZ,Santa Cruz County,-0.025682696225944462,medium
108,04025,AZ,Yavapai County,0.07369324919050195,medium
109,04027,AZ,Yuma County,0.08216824372411212,medium
110,05001,AR,Arkansas County,-0.10687186639492,medium
111,05003,AR,Ashley County,-0.2670722249083596,medium
112,05005,AR,Baxter County,0.17928690131860156,medium
113,05007,AR,Benton County,0.2893719264992981,medium
114,05009,AR,Boone County,0.4084403374749461,medium
115,05011,AR,Bradley County,-0.30169864062316704,medium
116,05013,AR,Calhoun County,-0.3056104632894341,medium
117,05015,AR,Carroll County,0.4084403374749461,medium
118,05017,AR,Chicot County,-0.2670722249083596,medium
119,05019,AR,Clark County,-0.1084497099506281,medium
120,05021,AR,Clay County,0.08614873599710822,medium
121,05023,AR,Cleburne County,0.0746699886217089,medium
122,05025,AR,Cleveland County,-0.17648596688468168,medium
123,05027,AR,Columbia County,0.01373267726703667,medium
124,05029,AR,Conway County,0.12531415363329165,medium
125,05031,AR,Craighead County,0.19526202699629808,medium
126,05033,AR,Crawford County,0.1929990053003082,medium
127,05035,AR,Crittenden County,0.061131048484024376,medium
128,05037,AR,Cross County,-0.13715158971544686,medium
129,05039,AR,Dallas County,-0.10427673176187358,medium
130,05041,AR,Desha County,-0.17649032577094376,medium
131,05043,AR,Drew County,-0.2871134653690579,medium
132,05045,AR,Faulkner County,0.11450225874878835,medium
133,05047,AR,Franklin County,-0.015376980636908844,medium
134,05049,AR,Fulton County,0.16163435401793072,medium
135,05051,AR,Garland County,0.4669112574564333,medium
136,05053,AR,Grant County,-0.06850339434404087,medium
137,05055,AR,Greene County,0.19526202699629808,medium
138,05057,AR,Hempstead County,0.12432539548161728,medium
139,05059,AR,Hot Spring County,0.4669112574564333,medium
140,05061,AR,Howard County,0.07276710503960343,medium
141,05063,AR,Independence County,0.06859579149153207,medium
142,05065,AR,Izard County,0.06859579149153207,medium
143,05067,AR,Jackson County,0.06529291868011462,medium
144,05069,AR,Jefferson County,-0.0923868251231798,medium
145,05071,AR,Johnson County,0.2603386562463491,medium
146,05073,AR,Lafayette County,0.01373267726703667,medium
147,05075,AR,Lawrence County,0.02610608047587421,medium
148,05077,AR,Lee County,-0.07337647224669745,medium
149,05079,AR,Lincoln County,-0.15321540892140356,medium
150,05081,AR,Little River County,-0.16886071603504016,medium
151,05083,AR,Logan County,0.10448335430854597,medium
152,05085,AR,Lonoke County,0.10266978506804343,medium
153,05087,AR,Madison County,-0.0026548845937294746,medium
154,05089,AR,Marion County,0.4084403374749461,medium
155,05091,AR,Miller County,-0.014998704864152612,medium
156,05093,AR,Mississippi County,0.08721803621748445,medium
157,05095,AR,Monroe County,-0.12912875146529024,medium
