,zip_code,digital_force,cat_DF,techlist,DataType,Agency
18456,1001,0.222475009,medium,Ring/Neighbors Partnership <br>,Predicted,
19681,1002,-0.320919042,medium,Body-worn Cameras <br>,Predicted,
133,1003,0.589,high,Automated License Plate Readers <br>,EFF,
18429,1005,-0.106368254,medium,Ring/Neighbors Partnership <br>,Predicted,
21725,1007,-0.034830647,medium,Ring/Neighbors Partnership <br>,Predicted,
19842,1008,-0.497936696,medium,Body-worn Cameras <br>,Predicted,
22195,1009,-0.229131531,medium,Body-worn Cameras <br>,Predicted,
22302,1010,-0.3660437,medium,Body-worn Cameras <br>,Predicted,
19682,1011,-0.249990651,medium,Body-worn Cameras <br>,Predicted,
19843,1012,-0.122329336,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
19844,1013,0.06551013,medium,Ring/Neighbors Partnership <br>,Predicted,
884,1020,0.719,high,Ring/Neighbors Partnership <br>Video Analytics <br>,EFF,
22321,1022,-0.189721639,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
18457,1026,-0.349247015,medium,Body-worn Cameras <br>,Predicted,
18430,1027,-0.037656179,medium,Ring/Neighbors Partnership <br>,Predicted,
18426,1028,0.073856774,medium,Ring/Neighbors Partnership <br>,Predicted,
19845,1029,-0.186703543,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
21726,1030,-0.176081782,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
19846,1031,-0.235842821,medium,Body-worn Cameras <br>,Predicted,
19847,1032,-0.119982987,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
18427,1033,0.085206998,medium,Ring/Neighbors Partnership <br>,Predicted,
21727,1034,-0.286491049,medium,Body-worn Cameras <br>,Predicted,
21728,1035,-0.322088455,medium,Body-worn Cameras <br>,Predicted,
22303,1036,-0.003050513,medium,Ring/Neighbors Partnership <br>,Predicted,
18428,1037,-0.059567536,medium,Ring/Neighbors Partnership <br>,Predicted,
18431,1038,-0.228058555,medium,Body-worn Cameras <br>,Predicted,
22300,1039,0.108789049,medium,Ring/Neighbors Partnership <br>,Predicted,
22301,1040,0.261449267,medium,Ring/Neighbors Partnership <br>,Predicted,
18452,1050,-0.155078318,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
21729,1053,-0.154335674,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
18432,1054,-0.101722822,medium,Ring/Neighbors Partnership <br>,Predicted,
19848,1056,0.500323811,high,Ring/Neighbors Partnership <br>,Predicted,
21730,1057,-0.287047223,medium,Body-worn Cameras <br>,Predicted,
3299,1060,0.647,high,Drones <br>,EFF,
17726,1062,-0.040464099,medium,Ring/Neighbors Partnership <br>,Predicted,
17727,1068,-0.264826334,medium,Body-worn Cameras <br>,Predicted,
19849,1069,-0.176778528,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
19850,1070,-0.09411293,medium,Ring/Neighbors Partnership <br>,Predicted,
17728,1071,-0.16631726,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
17729,1072,-0.034693857,medium,Ring/Neighbors Partnership <br>,Predicted,
17730,1073,0.038505253,medium,Ring/Neighbors Partnership <br>,Predicted,
22196,1074,-0.073910627,medium,Ring/Neighbors Partnership <br>,Predicted,
17731,1075,0.126218537,medium,Ring/Neighbors Partnership <br>,Predicted,
19851,1077,0.019349244,medium,Ring/Neighbors Partnership <br>,Predicted,
22197,1079,-0.229960333,medium,Body-worn Cameras <br>,Predicted,
19683,1080,-0.388287158,medium,Body-worn Cameras <br>,Predicted,
22318,1081,-0.24302617,medium,Body-worn Cameras <br>,Predicted,
21731,1082,-0.04937349,medium,Ring/Neighbors Partnership <br>,Predicted,
19852,1083,-0.188984237,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
18433,1084,-0.010492396,medium,Ring/Neighbors Partnership <br>,Predicted,
4751,1085,0.927,high,Drones <br>Ring/Neighbors Partnership <br>,EFF,
21732,1088,-0.093291355,medium,Ring/Neighbors Partnership <br>,Predicted,
22294,1089,0.181989918,medium,Ring/Neighbors Partnership <br>,Predicted,
18434,1092,-0.134942612,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
22198,1093,-0.214027058,medium,Body-worn Cameras <br>,Predicted,
4795,1095,0.686,high,Ring/Neighbors Partnership <br>,EFF,
17732,1096,-0.280280827,medium,Body-worn Cameras <br>,Predicted,
19853,1098,-0.08468168,medium,Ring/Neighbors Partnership <br>,Predicted,
18435,1103,0.264652036,medium,Ring/Neighbors Partnership <br>,Predicted,
21733,1104,0.149433274,medium,Ring/Neighbors Partnership <br>,Predicted,
4260,1105,0.497,medium,Body-worn Cameras <br>Gunshot Detection <br>Real-Time Crime Center <br>Ring/Neighbors Partnership <br> Video Analytics <br>,EFF,
21734,1106,0.387431812,medium,Ring/Neighbors Partnership <br>,Predicted,
18436,1107,0.051835349,medium,Ring/Neighbors Partnership <br>,Predicted,
18453,1108,0.001467459,medium,Ring/Neighbors Partnership <br>,Predicted,
19684,1109,-0.006354855,medium,Ring/Neighbors Partnership <br>,Predicted,
22319,1118,0.01618828,medium,Ring/Neighbors Partnership <br>,Predicted,
18437,1119,-0.141611097,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
18454,1128,-0.19692407,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
19854,1129,-0.166879983,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
19685,1151,-0.235628783,medium,Body-worn Cameras <br>,Predicted,
3642,1201,0.449,medium,Gunshot Detection <br>,EFF,
41,1220,0.686,high,Ring/Neighbors Partnership <br>,EFF,
19686,1222,-0.309317469,medium,Body-worn Cameras <br>,Predicted,
17733,1223,-0.293054653,medium,Body-worn Cameras <br>,Predicted,
19687,1225,-0.13116437,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
21735,1226,-0.31304211,medium,Body-worn Cameras <br>,Predicted,
19019,1230,0.038217228,medium,Ring/Neighbors Partnership <br>,Predicted,
18455,1235,-0.402807927,medium,Body-worn Cameras <br>,Predicted,
18438,1236,-0.106416202,medium,Ring/Neighbors Partnership <br>,Predicted,
19855,1237,-0.248772268,medium,Body-worn Cameras <br>,Predicted,
19169,1238,-0.029373478,medium,Ring/Neighbors Partnership <br>,Predicted,
17736,1240,-0.028944239,medium,Ring/Neighbors Partnership <br>,Predicted,
22199,1243,0.024187351,medium,Ring/Neighbors Partnership <br>,Predicted,
19856,1244,-0.019335993,medium,Ring/Neighbors Partnership <br>,Predicted,
18439,1245,-0.139690219,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
19857,1247,-0.201831596,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
18440,1254,-0.156109644,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
21736,1255,-0.128967242,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
17737,1256,-0.153495356,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
19170,1257,-0.314217396,medium,Body-worn Cameras <br>,Predicted,
21737,1258,-0.118598494,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
22295,1259,0.075903694,medium,Ring/Neighbors Partnership <br>,Predicted,
22200,1260,-0.247646873,medium,Body-worn Cameras <br>,Predicted,
18441,1262,-0.1118934,medium,Ring/Neighbors Partnership <br>,Predicted,
17734,1264,-0.032453292,medium,Ring/Neighbors Partnership <br>,Predicted,
19858,1266,-0.022478996,medium,Ring/Neighbors Partnership <br>,Predicted,
17738,1267,-0.150166695,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
21738,1301,0.072236588,medium,Ring/Neighbors Partnership <br>,Predicted,
19859,1330,-0.058930749,medium,Ring/Neighbors Partnership <br>,Predicted,
19860,1331,0.126168356,medium,Ring/Neighbors Partnership <br>,Predicted,
19688,1337,-0.057263041,medium,Ring/Neighbors Partnership <br>,Predicted,
21739,1339,-0.378431091,medium,Body-worn Cameras <br>,Predicted,
19861,1340,-0.370580199,medium,Body-worn Cameras <br>,Predicted,
19689,1341,-0.147889794,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
17735,1342,-0.0460673,medium,Ring/Neighbors Partnership <br>,Predicted,
22288,1343,-0.305676971,medium,Body-worn Cameras <br>,Predicted,
17739,1344,-0.107692842,medium,Ring/Neighbors Partnership <br>,Predicted,
19690,1346,-0.387435206,medium,Body-worn Cameras <br>,Predicted,
22289,1347,-0.112546968,medium,Ring/Neighbors Partnership <br>,Predicted,
17740,1349,-0.092869813,medium,Ring/Neighbors Partnership <br>,Predicted,
19862,1350,-0.09656276,medium,Ring/Neighbors Partnership <br>,Predicted,
19691,1351,-0.166094813,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
22290,1354,-0.109661104,medium,Ring/Neighbors Partnership <br>,Predicted,
17741,1355,-0.159897802,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
17742,1360,-0.061946981,medium,Ring/Neighbors Partnership <br>,Predicted,
18271,1364,-0.328696269,medium,Body-worn Cameras <br>,Predicted,
19692,1366,-0.300935884,medium,Body-worn Cameras <br>,Predicted,
19171,1367,-0.216915709,medium,Body-worn Cameras <br>,Predicted,
18442,1368,-0.221349091,medium,Body-worn Cameras <br>,Predicted,
21740,1370,-0.305872553,medium,Body-worn Cameras <br>,Predicted,
19693,1373,-0.247798584,medium,Body-worn Cameras <br>,Predicted,
21741,1375,-0.201797785,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
19829,1376,-0.078523366,medium,Ring/Neighbors Partnership <br>,Predicted,
19830,1378,-0.142017289,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
18272,1379,-0.256711246,medium,Body-worn Cameras <br>,Predicted,
17743,1420,0.218960902,medium,Ring/Neighbors Partnership <br>,Predicted,
19172,1430,-0.249529759,medium,Body-worn Cameras <br>,Predicted,
17744,1431,-0.032395859,medium,Ring/Neighbors Partnership <br>,Predicted,
19173,1432,-0.122952224,medium,Body-worn Cameras <br>Ring/Neighbors Partnership <br>,Predicted,
22291,1434,0.002866955,medium,Ring/Neighbors Partnership <br>,Predicted,
19174,1436,-0.06172004,medium,Ring/Neighbors Partnership <br>,Predicted,
